true_knee,n_phys,delta,knee_pred,abs_delta,ratio_abs_delta_over_sum_abs,ratio_abs_delta_over_pred,strata
250.0,262.48248,21.076044,283.55853,21.076044,0.07432696,0.07432696,mid
245.0,315.91125,-41.673477,274.2378,41.673477,0.11654155,0.1519611,far
246.0,305.6527,-76.328285,229.32443,76.328285,0.19982222,0.33283976,mid
247.0,313.90808,-64.49556,249.41252,64.49556,0.17044118,0.2585899,mid
249.0,278.63437,-44.696167,233.9382,44.696167,0.13823676,0.19105972,mid
249.0,279.09222,-31.646338,247.44589,31.646338,0.10184233,0.12789194,mid
248.0,416.33386,-40.563046,375.7708,40.563046,0.08877943,0.10794624,mid
245.0,272.8119,-6.1373134,266.6746,6.1373134,0.022001546,0.023014242,far
246.0,301.07925,-24.41542,276.66382,24.41542,0.075010195,0.088249415,mid
252.0,296.39636,-41.262753,255.1336,41.262753,0.1222024,0.16172998,mid
360.0,361.14355,6.210128,367.35367,6.210128,0.016905038,0.016905038,near
246.0,323.80225,-48.11345,275.68878,48.11345,0.12936655,0.17452088,mid
246.0,318.99457,-72.736496,246.25807,72.736496,0.18567966,0.29536694,mid
249.0,250.28268,0.7493762,251.03206,0.7493762,0.0029851813,0.0029851813,mid
245.0,250.0576,19.03306,269.09067,19.03306,0.07073103,0.07073103,far
251.0,279.2745,-36.769474,242.50504,36.769474,0.1163429,0.15162355,mid
246.0,221.04071,44.25545,265.29617,44.25545,0.16681527,0.16681527,mid
361.0,409.14417,-53.195698,355.94846,53.195698,0.11505756,0.14944775,near
249.0,276.13406,-13.6443405,262.48972,13.6443405,0.047085427,0.051980477,mid
245.0,322.1419,-87.48727,234.65463,87.48727,0.21357675,0.37283418,far
249.0,266.91492,2.195615,269.11053,2.195615,0.008158785,0.008158785,mid
246.0,258.37433,4.4697566,262.8441,4.4697566,0.017005354,0.017005354,mid
259.0,218.29243,41.74897,260.0414,41.74897,0.16054739,0.16054739,mid
819.0,502.30435,38.026318,540.3307,38.026318,0.07037601,0.07037601,far
585.0,447.49567,-45.028202,402.46747,45.028202,0.09142339,0.111880355,mid
600.0,499.75006,38.195713,537.9458,38.195713,0.0710029,0.0710029,mid
441.0,554.87146,66.46396,621.33545,66.46396,0.10696953,0.10696953,near
549.0,442.43768,88.83878,531.2765,88.83878,0.16721761,0.16721761,mid
389.0,459.26868,-99.18378,360.0849,99.18378,0.17760469,0.27544552,near
426.0,486.93872,61.84281,548.78156,61.84281,0.11269113,0.11269113,near
371.0,505.07654,52.30836,557.3849,52.30836,0.09384603,0.09384603,near
102.0,472.71536,-166.0524,306.66296,166.0524,0.25995737,0.54148173,far
145.0,448.7146,-81.63768,367.0769,81.63768,0.15393104,0.2223994,far
463.0,510.15863,-22.028547,488.1301,22.028547,0.04139248,0.045128435,near
377.0,445.3534,-101.526245,343.82715,101.526245,0.18564641,0.2952828,near
143.0,442.07428,-85.65355,356.42072,85.65355,0.1623063,0.24031585,far
519.0,480.35406,-55.509167,424.8449,55.509167,0.10358831,0.13065748,near
568.0,453.8224,-114.8329,338.9895,114.8329,0.20193763,0.3387506,mid
591.0,466.89395,32.36154,499.2555,32.36154,0.064819604,0.064819604,mid
904.0,415.57867,-66.45751,349.12115,66.45751,0.1378683,0.19035658,far
660.0,487.14682,49.93029,537.0771,49.93029,0.09296671,0.09296671,far
409.0,482.38373,102.09383,584.47754,102.09383,0.17467536,0.17467536,near
391.0,460.82544,-77.10412,383.7213,77.10412,0.14333497,0.20093781,near
673.0,530.95013,-13.399185,517.55096,13.399185,0.02461505,0.025889596,far
773.0,472.90222,89.70797,562.61017,89.70797,0.1594496,0.1594496,far
348.0,410.06436,-44.412735,365.6516,44.412735,0.09772271,0.12146189,mid
734.0,450.90292,45.167263,496.0702,45.167263,0.09105015,0.09105015,far
753.0,499.63354,67.48814,567.1217,67.48814,0.11900115,0.11900115,far
112.0,501.299,-38.60902,462.69,38.60902,0.07151037,0.083444685,far
352.0,482.0581,48.27467,530.33276,48.27467,0.09102713,0.09102713,mid
133.0,419.50726,-66.93179,352.57547,66.93179,0.13759543,0.18983679,far
863.0,484.57977,72.31357,556.8933,72.31357,0.12985174,0.12985174,far
598.0,456.72357,132.76161,589.48517,132.76161,0.22521621,0.22521621,mid
1681.0,516.7224,43.09341,559.8158,43.09341,0.07697784,0.07697784,far
938.0,461.1573,114.11578,575.2731,114.11578,0.19836803,0.19836803,far
237.0,432.85748,-2.4389727,430.41852,2.4389727,0.0056030154,0.0056665144,far
621.0,427.6875,119.77776,547.4653,119.77776,0.21878605,0.21878605,mid
1341.0,507.5349,119.59345,627.12836,119.59345,0.19070011,0.19070011,far
706.0,528.8658,73.76258,602.62836,73.76258,0.122401446,0.122401446,far
636.0,518.78156,-71.88981,446.89175,71.88981,0.12170864,0.16086626,mid
