variant,n_early,seed,n_train,n_test,n_params,MAE,RMSE,MAPE,MedianAE,Within_50,Within_100,Bias,fold
physics_only,100,2,69,22,7591,243.2718,308.1495,53.844,163.1762,0.0455,0.3182,-210.3565,4
mlp_matched,100,0,68,22,7601,126.1068,172.1507,29.5092,79.7932,0.3182,0.6364,2.9431,0
mlp_matched,100,1,68,22,7601,138.1482,169.3069,35.6689,104.5483,0.2727,0.5,5.2477,0
mlp_matched,100,2,68,22,7601,107.6707,162.4547,23.8506,62.1991,0.4545,0.6818,-26.0759,0
mlp_matched,100,0,68,23,7601,152.5235,305.4505,24.5079,46.6349,0.5217,0.6087,-94.1469,1
mlp_matched,100,1,68,23,7601,139.3365,285.5798,21.4394,58.7682,0.4783,0.7391,-84.9387,1
mlp_matched,100,2,68,23,7601,148.953,297.3397,23.8604,82.1843,0.4348,0.6957,-105.3557,1
mlp_matched,100,0,70,21,7601,152.6404,200.5098,36.9341,108.157,0.2857,0.4762,-85.2461,2
mlp_matched,100,1,70,21,7601,147.7072,196.5097,35.4814,76.0791,0.1905,0.5238,-90.7868,2
mlp_matched,100,2,70,21,7601,149.5152,203.4525,34.5832,72.2569,0.381,0.5714,-98.9142,2
mlp_matched,100,0,68,23,7601,182.407,273.8231,46.8102,118.5166,0.3478,0.4783,-92.4435,3
mlp_matched,100,1,68,23,7601,171.0336,260.307,44.0167,112.387,0.3478,0.4348,-77.494,3
mlp_matched,100,2,68,23,7601,168.4929,256.7311,43.1683,113.3179,0.4348,0.4783,-74.2635,3
mlp_matched,100,0,69,22,7601,158.7672,197.473,64.8447,120.7423,0.0455,0.4091,41.4451,4
mlp_matched,100,1,69,22,7601,161.9712,208.5667,68.4716,106.7205,0.1364,0.5,41.5308,4
mlp_matched,100,2,69,22,7601,159.3876,200.8355,66.8589,118.8981,0.2273,0.4091,53.6578,4
constant_median,100,0,68,22,0,151.6818,179.4369,39.3013,167.0,0.1818,0.3636,-24.1364,0
constant_median,100,1,68,22,0,151.6818,179.4369,39.3013,167.0,0.1818,0.3636,-24.1364,0
constant_median,100,2,68,22,0,151.6818,179.4369,39.3013,167.0,0.1818,0.3636,-24.1364,0
constant_median,100,0,68,23,0,186.6957,311.0804,35.9134,134.0,0.087,0.3478,-91.8261,1
constant_median,100,1,68,23,0,186.6957,311.0804,35.9134,134.0,0.087,0.3478,-91.8261,1
constant_median,100,2,68,23,0,186.6957,311.0804,35.9134,134.0,0.087,0.3478,-91.8261,1
constant_median,100,0,70,21,0,180.9286,231.0413,45.0418,175.5,0.1429,0.4286,-57.7381,2
constant_median,100,1,70,21,0,180.9286,231.0413,45.0418,175.5,0.1429,0.4286,-57.7381,2
constant_median,100,2,70,21,0,180.9286,231.0413,45.0418,175.5,0.1429,0.4286,-57.7381,2
constant_median,100,0,68,23,0,231.2826,284.8562,74.242,244.5,0.087,0.1739,51.6739,3
constant_median,100,1,68,23,0,231.2826,284.8562,74.242,244.5,0.087,0.1739,51.6739,3
constant_median,100,2,68,23,0,231.2826,284.8562,74.242,244.5,0.087,0.1739,51.6739,3
constant_median,100,0,69,22,0,204.0909,241.1853,75.9274,237.5,0.1818,0.2727,34.1818,4
constant_median,100,1,69,22,0,204.0909,241.1853,75.9274,237.5,0.1818,0.2727,34.1818,4
constant_median,100,2,69,22,0,204.0909,241.1853,75.9274,237.5,0.1818,0.2727,34.1818,4
full,150,0,63,22,7591,86.441,129.7382,19.7943,37.9205,0.5455,0.7273,-13.8668,0
full,150,1,63,22,7591,100.8305,132.3409,24.1827,80.308,0.3182,0.6364,10.776,0
full,150,2,63,22,7591,89.5365,130.6395,21.0905,39.3716,0.5455,0.6818,-14.5865,0
full,150,0,63,23,7591,123.0532,265.0697,18.3115,45.5928,0.5652,0.7826,-84.4553,1
full,150,1,63,23,7591,113.5143,255.194,17.3785,35.718,0.6087,0.7391,-57.387,1
full,150,2,63,23,7591,125.3965,262.4078,19.3869,38.926,0.5652,0.7391,-81.2725,1
full,150,0,66,20,7591,107.7798,171.5063,16.9227,49.0026,0.55,0.75,-79.8214,2
full,150,1,66,20,7591,104.0953,157.7496,17.1494,46.1285,0.55,0.7,-65.6848,2
full,150,2,66,20,7591,111.6269,165.9885,18.2246,56.9146,0.45,0.65,-82.6399,2
full,150,0,65,21,7591,139.9162,226.781,25.718,103.444,0.4286,0.4762,-67.1765,3
full,150,1,65,21,7591,136.6995,222.3767,24.6946,96.9943,0.381,0.5238,-81.1707,3
full,150,2,65,21,7591,130.7152,220.5948,22.3635,52.611,0.4762,0.5714,-68.9057,3
full,150,0,66,20,7591,128.6913,178.7828,27.7601,65.932,0.4,0.6,-21.0404,4
full,150,1,66,20,7591,132.1463,173.2716,30.2712,76.2696,0.35,0.6,2.4742,4
full,150,2,66,20,7591,129.9716,177.8427,28.5513,66.7655,0.35,0.6,-17.3582,4
arch_only,150,0,63,22,7591,114.9207,148.9121,27.6505,101.6479,0.2727,0.5,23.7235,0
arch_only,150,1,63,22,7591,101.56,134.4804,23.2357,87.6704,0.3182,0.5909,10.0903,0
arch_only,150,2,63,22,7591,102.707,134.2015,24.2173,74.4695,0.3182,0.5909,12.0645,0
arch_only,150,0,63,23,7591,127.0133,254.5628,20.0288,58.1681,0.4783,0.6957,-52.2844,1
arch_only,150,1,63,23,7591,125.0608,249.4153,19.4312,60.343,0.4783,0.7391,-51.1616,1
arch_only,150,2,63,23,7591,128.714,252.0731,20.4492,59.7834,0.4348,0.6087,-58.193,1
arch_only,150,0,66,20,7591,110.4073,151.3949,18.9548,74.2906,0.4,0.7,-57.5833,2
arch_only,150,1,66,20,7591,103.3645,142.3168,17.4788,54.2133,0.45,0.65,-48.3395,2
arch_only,150,2,66,20,7591,108.6973,154.8224,18.2744,66.8805,0.45,0.65,-53.3786,2
arch_only,150,0,65,21,7591,135.1617,226.1652,24.0389,54.9511,0.4762,0.5714,-49.6861,3
arch_only,150,1,65,21,7591,123.6926,205.8429,22.4839,60.8721,0.4286,0.619,-37.9653,3
arch_only,150,2,65,21,7591,135.3788,220.6881,25.1375,75.9418,0.4762,0.5238,-46.5754,3
arch_only,150,0,66,20,7591,139.2831,179.0038,33.2444,70.8783,0.25,0.55,21.3242,4
arch_only,150,1,66,20,7591,137.7077,173.9873,33.475,111.1501,0.2,0.5,28.1429,4
arch_only,150,2,66,20,7591,134.5529,180.1849,31.0489,87.1747,0.35,0.55,15.8604,4
physics_only,150,0,63,22,7591,177.1754,234.5682,33.0736,145.1155,0.2727,0.3636,-174.2,0
physics_only,150,1,63,22,7591,108.8103,136.455,28.2762,85.6671,0.2727,0.5909,-7.7127,0
physics_only,150,2,63,22,7591,190.3569,234.2493,39.4572,155.4891,0.1364,0.1818,-180.1616,0
physics_only,150,0,63,23,7591,251.5069,380.1793,39.8375,203.9679,0.2174,0.2609,-250.4564,1
physics_only,150,1,63,23,7591,161.8177,300.1663,26.3165,80.8738,0.2609,0.5652,-116.9695,1
physics_only,150,2,63,23,7591,240.4914,362.7502,40.03,162.5157,0.0435,0.2609,-231.3621,1
physics_only,150,0,66,20,7591,241.1867,304.2298,40.3539,203.0903,0.2,0.25,-241.1867,2
physics_only,150,1,66,20,7591,160.002,218.4231,26.4684,101.4678,0.25,0.5,-147.4578,2
physics_only,150,2,66,20,7591,237.4389,288.5047,42.4432,189.378,0.1,0.1,-236.2402,2
physics_only,150,0,65,21,7591,190.1521,304.9255,30.0124,84.5333,0.4286,0.5714,-183.6448,3
physics_only,150,1,65,21,7591,168.2632,276.0695,26.8207,57.7661,0.381,0.5714,-153.0601,3
physics_only,150,2,65,21,7591,239.9571,341.7558,42.3378,129.119,0.0952,0.2857,-230.7969,3
physics_only,150,0,66,20,7591,219.0223,294.8187,36.8545,155.5556,0.25,0.4,-210.192,4
physics_only,150,1,66,20,7591,160.6188,223.1736,29.8512,91.0453,0.3,0.55,-101.7835,4
physics_only,150,2,66,20,7591,193.3886,256.865,34.9762,144.1974,0.2,0.35,-166.4145,4
mlp_matched,150,0,63,22,7601,101.4839,139.373,24.8664,78.8784,0.3636,0.6364,-11.1422,0
mlp_matched,150,1,63,22,7601,129.2355,162.9186,33.7141,104.1735,0.2273,0.5,-5.9037,0
mlp_matched,150,2,63,22,7601,114.575,150.386,28.7899,64.5446,0.2273,0.5455,8.2014,0
mlp_matched,150,0,63,23,7601,120.8045,255.9968,18.2135,56.968,0.4783,0.7391,-70.5054,1
mlp_matched,150,1,63,23,7601,122.9692,251.5172,19.5966,54.6303,0.4783,0.6957,-66.601,1
mlp_matched,150,2,63,23,7601,121.2992,249.664,18.9291,60.7131,0.4348,0.7391,-65.5398,1
mlp_matched,150,0,66,20,7601,113.2761,158.1371,18.6177,70.9299,0.35,0.7,-72.6236,2
mlp_matched,150,1,66,20,7601,107.1428,148.7433,18.5253,71.6698,0.4,0.65,-62.8687,2
mlp_matched,150,2,66,20,7601,106.5273,149.3919,17.8561,50.7049,0.4,0.6,-57.873,2
mlp_matched,150,0,65,21,7601,130.6467,209.2047,25.108,75.5952,0.2857,0.619,-59.4918,3
mlp_matched,150,1,65,21,7601,133.8718,211.0086,27.0615,79.4788,0.3333,0.5238,-58.0253,3
mlp_matched,150,2,65,21,7601,122.7305,202.1774,23.0707,69.9277,0.381,0.619,-41.9052,3
mlp_matched,150,0,66,20,7601,130.9044,168.4027,30.8949,78.9574,0.25,0.6,-1.4001,4
mlp_matched,150,1,66,20,7601,134.8752,173.1317,32.9896,93.4257,0.35,0.55,17.513,4
mlp_matched,150,2,66,20,7601,131.8013,168.676,32.195,95.6318,0.25,0.55,20.4629,4
constant_median,150,0,63,22,0,149.1364,177.8159,41.1339,188.5,0.1818,0.4091,1.8636,0
constant_median,150,1,63,22,0,149.1364,177.8159,41.1339,188.5,0.1818,0.4091,1.8636,0
constant_median,150,2,63,22,0,149.1364,177.8159,41.1339,188.5,0.1818,0.4091,1.8636,0
constant_median,150,0,63,23,0,179.0435,304.4209,36.3162,108.0,0.1304,0.4783,-65.8261,1
constant_median,150,1,63,23,0,179.0435,304.4209,36.3162,108.0,0.1304,0.4783,-65.8261,1
constant_median,150,2,63,23,0,179.0435,304.4209,36.3162,108.0,0.1304,0.4783,-65.8261,1
constant_median,150,0,66,20,0,169.2,219.092,37.0061,135.5,0.3,0.45,-47.2,2
constant_median,150,1,66,20,0,169.2,219.092,37.0061,135.5,0.3,0.45,-47.2,2
constant_median,150,2,66,20,0,169.2,219.092,37.0061,135.5,0.3,0.45,-47.2,2
constant_median,150,0,65,21,0,221.2857,278.5528,59.1494,249.0,0.0952,0.2381,28.9048,3
constant_median,150,1,65,21,0,221.2857,278.5528,59.1494,249.0,0.0952,0.2381,28.9048,3
constant_median,150,2,65,21,0,221.2857,278.5528,59.1494,249.0,0.0952,0.2381,28.9048,3
constant_median,150,0,66,20,0,186.7,223.0307,48.788,205.0,0.2,0.25,6.8,4
constant_median,150,1,66,20,0,186.7,223.0307,48.788,205.0,0.2,0.25,6.8,4
constant_median,150,2,66,20,0,186.7,223.0307,48.788,205.0,0.2,0.25,6.8,4
