model,n_early,seed,n_train,n_cal,n_test,n_params,train_time_s,test_cells,y_true,y_pred,MAE,RMSE,MAPE,MedianAE,Within_50,Within_100,Bias,fold
PINN_UQ,50,0,71,23,23,36359,2.35,SEV_batch2_c006|SEV_batch1_c006|SEV_batch2_c019|SEV_batch2_c004|SEV_batch1_c012|SEV_batch3_c008|SEV_batch2_c040|SEV_batch3_c017|SEV_batch1_c044|SEV_batch1_c013|SEV_batch2_c002|SEV_batch1_c030|SEV_batch3_c018|SEV_batch3_c030|SEV_batch1_c021|SEV_batch1_c000|SEV_batch2_c029|SEV_batch3_c040|SEV_batch2_c044|SEV_batch3_c027|SEV_batch2_c036|SEV_batch3_c012|SEV_batch3_c043,256|518|247|245|504|426|361|63|500|500|246|432|591|753|462|701|245|237|246|773|249|463|706,214.85|656.61|86.84|297.75|577.42|465.76|259.87|576.57|507.30|536.72|275.20|466.87|510.07|491.76|535.92|265.93|357.15|406.26|260.33|395.18|274.86|486.71|531.67,129.4458,188.7151,59.2869,73.923,0.3913,0.5652,-12.4524,0
PINN_UQ,50,1,71,23,23,36359,1.33,SEV_batch2_c006|SEV_batch1_c006|SEV_batch2_c019|SEV_batch2_c004|SEV_batch1_c012|SEV_batch3_c008|SEV_batch2_c040|SEV_batch3_c017|SEV_batch1_c044|SEV_batch1_c013|SEV_batch2_c002|SEV_batch1_c030|SEV_batch3_c018|SEV_batch3_c030|SEV_batch1_c021|SEV_batch1_c000|SEV_batch2_c029|SEV_batch3_c040|SEV_batch2_c044|SEV_batch3_c027|SEV_batch2_c036|SEV_batch3_c012|SEV_batch3_c043,256|518|247|245|504|426|361|63|500|500|246|432|591|753|462|701|245|237|246|773|249|463|706,248.21|751.53|67.02|424.99|545.52|443.09|278.43|776.61|429.19|509.74|321.79|480.84|473.04|480.09|643.18|375.73|361.33|356.81|266.65|383.39|277.74|528.71|509.52,151.9955,218.8484,77.0754,116.3282,0.3043,0.4783,9.0934,0
PINN_UQ,50,2,71,23,23,36359,2.65,SEV_batch2_c006|SEV_batch1_c006|SEV_batch2_c019|SEV_batch2_c004|SEV_batch1_c012|SEV_batch3_c008|SEV_batch2_c040|SEV_batch3_c017|SEV_batch1_c044|SEV_batch1_c013|SEV_batch2_c002|SEV_batch1_c030|SEV_batch3_c018|SEV_batch3_c030|SEV_batch1_c021|SEV_batch1_c000|SEV_batch2_c029|SEV_batch3_c040|SEV_batch2_c044|SEV_batch3_c027|SEV_batch2_c036|SEV_batch3_c012|SEV_batch3_c043,256|518|247|245|504|426|361|63|500|500|246|432|591|753|462|701|245|237|246|773|249|463|706,208.19|689.97|74.39|321.70|597.94|478.02|239.65|595.92|518.30|564.11|261.20|494.21|493.21|512.41|613.92|342.77|341.57|411.34|278.92|393.40|288.29|526.79|551.71,139.9338,188.7623,63.4722,96.5681,0.2174,0.5652,3.2148,0
PINN_UQ,50,0,71,23,23,36359,1.26,SEV_batch1_c014|SEV_batch1_c017|SEV_batch2_c037|SEV_batch1_c037|SEV_batch1_c027|SEV_batch2_c022|SEV_batch1_c025|SEV_batch3_c039|SEV_batch2_c032|SEV_batch3_c003|SEV_batch1_c036|SEV_batch2_c041|SEV_batch2_c010|SEV_batch1_c011|SEV_batch1_c040|SEV_batch3_c038|SEV_batch2_c035|SEV_batch1_c034|SEV_batch2_c007|SEV_batch3_c006|SEV_batch1_c007|SEV_batch3_c007|SEV_batch2_c033,522|507|245|438|502|245|569|938|360|600|490|249|249|507|485|1681|246|541|530|549|569|389|246,490.09|473.56|292.09|365.87|381.72|268.76|481.56|337.51|258.04|406.89|355.03|307.40|262.64|503.96|377.80|458.38|321.13|381.97|56.74|303.79|240.40|332.82|349.27,186.6148,323.3956,29.6487,101.9584,0.2609,0.4783,-158.6776,1
PINN_UQ,50,1,71,23,23,36359,1.8,SEV_batch1_c014|SEV_batch1_c017|SEV_batch2_c037|SEV_batch1_c037|SEV_batch1_c027|SEV_batch2_c022|SEV_batch1_c025|SEV_batch3_c039|SEV_batch2_c032|SEV_batch3_c003|SEV_batch1_c036|SEV_batch2_c041|SEV_batch2_c010|SEV_batch1_c011|SEV_batch1_c040|SEV_batch3_c038|SEV_batch2_c035|SEV_batch1_c034|SEV_batch2_c007|SEV_batch3_c006|SEV_batch1_c007|SEV_batch3_c007|SEV_batch2_c033,522|507|245|438|502|245|569|938|360|600|490|249|249|507|485|1681|246|541|530|549|569|389|246,607.94|532.71|339.02|370.33|476.90|310.65|591.21|418.61|233.05|431.42|387.55|286.67|249.16|532.98|529.23|498.03|267.91|409.79|20.16|349.20|352.93|279.84|344.71,168.7549,305.1059,27.0616,94.019,0.3478,0.5652,-123.3481,1
PINN_UQ,50,2,71,23,23,36359,1.25,SEV_batch1_c014|SEV_batch1_c017|SEV_batch2_c037|SEV_batch1_c037|SEV_batch1_c027|SEV_batch2_c022|SEV_batch1_c025|SEV_batch3_c039|SEV_batch2_c032|SEV_batch3_c003|SEV_batch1_c036|SEV_batch2_c041|SEV_batch2_c010|SEV_batch1_c011|SEV_batch1_c040|SEV_batch3_c038|SEV_batch2_c035|SEV_batch1_c034|SEV_batch2_c007|SEV_batch3_c006|SEV_batch1_c007|SEV_batch3_c007|SEV_batch2_c033,522|507|245|438|502|245|569|938|360|600|490|249|249|507|485|1681|246|541|530|549|569|389|246,744.54|601.43|329.01|508.50|516.23|302.46|659.40|294.58|298.27|359.30|484.48|244.46|235.30|600.86|435.52|381.06|361.82|563.34|141.65|91.52|406.72|579.18|358.25,195.4427,343.1538,31.5233,93.864,0.2609,0.5652,-93.8743,1
PINN_UQ,50,0,71,23,23,36359,1.33,SEV_batch2_c001|SEV_batch1_c043|SEV_batch1_c019|SEV_batch2_c031|SEV_batch1_c042|SEV_batch2_c021|SEV_batch1_c009|SEV_batch2_c005|SEV_batch2_c038|SEV_batch2_c047|SEV_batch1_c031|SEV_batch1_c022|SEV_batch3_c016|SEV_batch3_c021|SEV_batch1_c029|SEV_batch1_c010|SEV_batch3_c019|SEV_batch2_c012|SEV_batch1_c015|SEV_batch3_c034|SEV_batch1_c005|SEV_batch1_c020|SEV_batch2_c000,92|498|507|252|500|250|887|390|251|259|629|793|568|409|505|506|904|252|517|133|906|421|71,183.19|476.50|472.61|259.29|477.40|193.37|517.34|239.23|279.54|27.43|299.44|535.20|403.25|324.46|525.74|499.95|489.83|168.62|357.22|401.60|496.56|417.57|97.80,141.008,195.8162,37.2523,84.5442,0.3913,0.5652,-102.4718,2
PINN_UQ,50,1,71,23,23,36359,1.56,SEV_batch2_c001|SEV_batch1_c043|SEV_batch1_c019|SEV_batch2_c031|SEV_batch1_c042|SEV_batch2_c021|SEV_batch1_c009|SEV_batch2_c005|SEV_batch2_c038|SEV_batch2_c047|SEV_batch1_c031|SEV_batch1_c022|SEV_batch3_c016|SEV_batch3_c021|SEV_batch1_c029|SEV_batch1_c010|SEV_batch3_c019|SEV_batch2_c012|SEV_batch1_c015|SEV_batch3_c034|SEV_batch1_c005|SEV_batch1_c020|SEV_batch2_c000,92|498|507|252|500|250|887|390|251|259|629|793|568|409|505|506|904|252|517|133|906|421|71,172.74|406.25|508.99|258.23|465.15|234.23|572.72|248.84|273.78|46.22|361.41|538.56|533.60|475.55|517.45|367.28|393.74|239.78|363.43|400.22|516.68|287.03|275.98,146.4359,198.8371,46.41,133.9707,0.3478,0.4783,-88.7888,2
PINN_UQ,50,2,71,23,23,36359,1.52,SEV_batch2_c001|SEV_batch1_c043|SEV_batch1_c019|SEV_batch2_c031|SEV_batch1_c042|SEV_batch2_c021|SEV_batch1_c009|SEV_batch2_c005|SEV_batch2_c038|SEV_batch2_c047|SEV_batch1_c031|SEV_batch1_c022|SEV_batch3_c016|SEV_batch3_c021|SEV_batch1_c029|SEV_batch1_c010|SEV_batch3_c019|SEV_batch2_c012|SEV_batch1_c015|SEV_batch3_c034|SEV_batch1_c005|SEV_batch1_c020|SEV_batch2_c000,92|498|507|252|500|250|887|390|251|259|629|793|568|409|505|506|904|252|517|133|906|421|71,141.62|399.05|615.82|260.37|551.22|254.18|486.41|258.50|322.44|82.44|406.40|607.86|531.51|398.26|593.93|629.32|383.08|165.16|380.10|416.16|497.89|405.52|223.98,146.6465,199.7014,43.1063,108.8194,0.2609,0.4783,-64.7289,2
PINN_UQ,50,0,71,23,23,36359,1.5,SEV_batch3_c013|SEV_batch1_c008|SEV_batch3_c011|SEV_batch3_c026|SEV_batch3_c042|SEV_batch2_c020|SEV_batch2_c013|SEV_batch3_c000|SEV_batch2_c009|SEV_batch3_c004|SEV_batch2_c028|SEV_batch3_c041|SEV_batch3_c001|SEV_batch3_c014|SEV_batch2_c003|SEV_batch2_c024|SEV_batch2_c011|SEV_batch3_c036|SEV_batch2_c023|SEV_batch2_c043|SEV_batch1_c039|SEV_batch3_c037|SEV_batch2_c025,377|494|145|673|1341|247|244|819|309|441|248|621|585|143|248|247|248|863|246|249|504|598|249,443.40|456.38|462.99|521.93|388.54|275.03|318.33|494.28|77.40|518.93|328.21|245.05|424.12|509.51|223.28|223.82|299.29|356.22|361.13|272.18|461.64|13.58|320.83,203.8523,304.9795,51.2446,80.2108,0.2609,0.5217,-93.1707,3
PINN_UQ,50,1,71,23,23,36359,1.4,SEV_batch3_c013|SEV_batch1_c008|SEV_batch3_c011|SEV_batch3_c026|SEV_batch3_c042|SEV_batch2_c020|SEV_batch2_c013|SEV_batch3_c000|SEV_batch2_c009|SEV_batch3_c004|SEV_batch2_c028|SEV_batch3_c041|SEV_batch3_c001|SEV_batch3_c014|SEV_batch2_c003|SEV_batch2_c024|SEV_batch2_c011|SEV_batch3_c036|SEV_batch2_c023|SEV_batch2_c043|SEV_batch1_c039|SEV_batch3_c037|SEV_batch2_c025,377|494|145|673|1341|247|244|819|309|441|248|621|585|143|248|247|248|863|246|249|504|598|249,455.05|361.34|515.15|521.94|435.30|218.97|400.23|493.82|83.71|524.92|300.28|213.26|446.04|489.25|258.17|264.67|324.64|414.22|394.49|243.01|464.82|130.71|350.62,205.0993,291.9729,53.7437,138.9582,0.2174,0.3913,-79.7558,3
PINN_UQ,50,2,71,23,23,36359,1.74,SEV_batch3_c013|SEV_batch1_c008|SEV_batch3_c011|SEV_batch3_c026|SEV_batch3_c042|SEV_batch2_c020|SEV_batch2_c013|SEV_batch3_c000|SEV_batch2_c009|SEV_batch3_c004|SEV_batch2_c028|SEV_batch3_c041|SEV_batch3_c001|SEV_batch3_c014|SEV_batch2_c003|SEV_batch2_c024|SEV_batch2_c011|SEV_batch3_c036|SEV_batch2_c023|SEV_batch2_c043|SEV_batch1_c039|SEV_batch3_c037|SEV_batch2_c025,377|494|145|673|1341|247|244|819|309|441|248|621|585|143|248|247|248|863|246|249|504|598|249,465.07|533.51|519.01|540.35|475.76|235.84|326.51|519.29|107.19|556.88|303.72|306.26|437.59|572.58|359.32|238.31|285.93|431.98|309.24|245.55|582.31|10.04|319.76,197.8558,290.0771,53.1222,111.3181,0.2174,0.4783,-63.3479,3
PINN_UQ,50,0,71,23,23,36359,1.44,SEV_batch2_c030|SEV_batch3_c020|SEV_batch1_c045|SEV_batch1_c035|SEV_batch3_c029|SEV_batch1_c003|SEV_batch2_c018|SEV_batch1_c024|SEV_batch1_c004|SEV_batch1_c026|SEV_batch3_c025|SEV_batch3_c010|SEV_batch3_c031|SEV_batch2_c042|SEV_batch3_c009|SEV_batch3_c005|SEV_batch3_c045|SEV_batch1_c023|SEV_batch2_c026|SEV_batch2_c039|SEV_batch3_c033|SEV_batch1_c016|SEV_batch3_c015,246|660|506|495|734|876|246|208|877|431|391|102|112|245|371|70|636|891|249|246|352|525|519,304.57|537.56|474.92|483.94|468.89|435.80|215.26|441.09|428.34|379.13|449.90|406.04|546.34|352.11|524.37|398.21|462.55|548.52|270.74|217.65|505.97|456.53|533.79,168.7844,223.3519,75.0144,122.4377,0.2609,0.4348,-6.3391,4
PINN_UQ,50,1,71,23,23,36359,1.21,SEV_batch2_c030|SEV_batch3_c020|SEV_batch1_c045|SEV_batch1_c035|SEV_batch3_c029|SEV_batch1_c003|SEV_batch2_c018|SEV_batch1_c024|SEV_batch1_c004|SEV_batch1_c026|SEV_batch3_c025|SEV_batch3_c010|SEV_batch3_c031|SEV_batch2_c042|SEV_batch3_c009|SEV_batch3_c005|SEV_batch3_c045|SEV_batch1_c023|SEV_batch2_c026|SEV_batch2_c039|SEV_batch3_c033|SEV_batch1_c016|SEV_batch3_c015,246|660|506|495|734|876|246|208|877|431|391|102|112|245|371|70|636|891|249|246|352|525|519,331.94|536.89|400.02|541.54|531.50|633.31|182.01|474.90|675.05|297.75|494.53|491.54|594.53|320.46|532.60|328.09|539.57|522.79|200.67|165.25|496.47|688.26|591.47,170.3275,205.3564,79.3306,133.2529,0.087,0.3478,25.3547,4
PINN_UQ,50,2,71,23,23,36359,1.31,SEV_batch2_c030|SEV_batch3_c020|SEV_batch1_c045|SEV_batch1_c035|SEV_batch3_c029|SEV_batch1_c003|SEV_batch2_c018|SEV_batch1_c024|SEV_batch1_c004|SEV_batch1_c026|SEV_batch3_c025|SEV_batch3_c010|SEV_batch3_c031|SEV_batch2_c042|SEV_batch3_c009|SEV_batch3_c005|SEV_batch3_c045|SEV_batch1_c023|SEV_batch2_c026|SEV_batch2_c039|SEV_batch3_c033|SEV_batch1_c016|SEV_batch3_c015,246|660|506|495|734|876|246|208|877|431|391|102|112|245|371|70|636|891|249|246|352|525|519,347.32|517.63|447.78|598.70|467.60|569.55|236.06|590.88|619.40|384.29|465.07|546.40|501.80|330.02|471.15|415.12|573.86|529.52|213.80|152.22|462.17|455.03|585.53,170.1496,216.906,83.1418,101.3157,0.1304,0.4348,21.4298,4
